date,symbol,market_name,open_interest,comm_long,comm_short,comm_net,cot_index_26w,cot_index_52w,zero_line,bias
2024-11-26,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2295861,1630229,1702843,-72614,58.4,40.3,sell,neutral
2024-11-26,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,289033,158533,189031,-30498,26.0,36.1,sell,neutral
2024-11-26,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,495231,370595,393180,-22585,15.5,15.5,sell,bear
2024-11-26,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,89349,44731,59090,-14359,25.7,41.8,sell,neutral
2024-12-03,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2303238,1650019,1687970,-37951,71.1,49.1,sell,neutral
2024-12-03,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,307679,161753,202622,-40869,0.8,14.4,sell,bear
2024-12-03,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,503146,379981,395157,-15176,22.5,22.5,sell,neutral
2024-12-03,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,92337,48062,61675,-13613,29.9,48.7,sell,neutral
2024-12-10,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2349247,1657996,1723367,-65371,61.0,42.2,sell,neutral
2024-12-10,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,306813,152775,202986,-50211,0.0,0.0,sell,bear
2024-12-10,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,520767,390127,414427,-24300,13.9,13.9,sell,bear
2024-12-10,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,92474,45997,62448,-16451,13.7,40.4,sell,neutral
2024-12-17,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2623934,1797010,1913439,-116429,42.3,29.3,sell,neutral
2024-12-17,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,340251,178811,225447,-46636,9.5,7.1,sell,bear
2024-12-17,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,569474,417352,439632,-22280,15.8,15.8,sell,bear
2024-12-17,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,108960,59009,72304,-13295,31.7,52.9,sell,neutral
2024-12-24,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2092944,1493336,1554278,-60942,62.7,43.3,sell,neutral
2024-12-24,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,251693,126302,167033,-40731,25.1,18.9,sell,bear
2024-12-24,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,462103,345895,367566,-21671,16.4,16.4,sell,bear
2024-12-24,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,82150,46633,57644,-11011,52.0,61.9,sell,neutral
2024-12-31,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2069072,1477183,1557507,-80324,55.6,38.4,sell,neutral
2024-12-31,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,258092,134614,178134,-43520,17.7,13.3,sell,bear
2024-12-31,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,470377,350521,369464,-18943,20.5,18.9,sell,bear
2024-12-31,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,83957,49740,61058,-11318,50.0,60.7,sell,neutral
2025-01-07,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2081903,1488507,1543329,-54822,64.9,44.8,sell,neutral
2025-01-07,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,247811,127757,161004,-33247,45.0,33.8,sell,neutral
2025-01-07,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,462215,339532,355812,-16280,27.2,21.5,sell,neutral
2025-01-07,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,85367,51259,61736,-10477,55.6,64.0,sell,neutral
2025-01-14,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2057030,1466301,1549180,-82879,54.6,37.7,sell,neutral
2025-01-14,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,261461,147007,171162,-24155,69.1,52.0,sell,neutral
2025-01-14,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,453908,332601,348058,-15457,28.2,22.2,sell,neutral
2025-01-14,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,81768,50479,57439,-6960,78.9,77.9,sell,neutral
2025-01-21,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2048587,1456724,1514620,-57896,63.8,44.1,sell,neutral
2025-01-21,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,263439,136047,172556,-36509,36.3,27.3,sell,neutral
2025-01-21,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,436046,334235,331688,2547,73.1,39.2,buy,neutral
2025-01-21,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,81691,53190,58754,-5564,88.2,83.4,sell,bull
2025-01-28,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2046711,1446447,1524089,-77642,56.6,39.1,sell,neutral
2025-01-28,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,279517,136735,179799,-43064,19.0,14.3,sell,bear
2025-01-28,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,425708,328989,322602,6387,85.5,42.8,buy,neutral
2025-01-28,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,85619,54455,58224,-3769,100.0,89.6,sell,bull
2025-02-04,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2085692,1425316,1548122,-122806,40.0,28.4,sell,neutral
2025-02-04,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,271345,140764,171561,-30797,51.5,38.7,sell,neutral
2025-02-04,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,420318,326371,314185,12186,96.5,48.3,buy,neutral
2025-02-04,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,82475,52409,58492,-6083,84.7,79.7,sell,neutral
2025-02-11,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2111106,1438396,1551627,-113231,43.5,31.7,sell,neutral
2025-02-11,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,276366,147909,170886,-22977,72.2,54.3,sell,neutral
2025-02-11,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,414957,324238,303985,20253,100.0,55.9,buy,neutral
2025-02-11,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,81382,49676,56946,-7270,76.8,74.6,sell,neutral
2025-02-18,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2136225,1477736,1568338,-90602,51.8,37.9,sell,neutral
2025-02-18,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,303715,158729,175612,-16883,88.4,66.5,sell,neutral
2025-02-18,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,416609,322190,306793,15397,91.8,51.3,buy,neutral
2025-02-18,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,82322,49596,52209,-2613,100.0,94.6,sell,bull
2025-02-25,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2145543,1491488,1598480,-106992,45.8,33.5,sell,neutral
2025-02-25,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,301391,152203,194367,-42164,21.3,16.0,sell,bear
2025-02-25,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,422488,317140,308515,8625,80.4,45.0,buy,neutral
2025-02-25,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,81664,45928,47023,-1095,100.0,100.0,sell,bull
2025-03-04,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2202261,1484871,1651595,-166724,23.9,17.5,sell,bear
2025-03-04,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,304391,156125,195979,-39854,27.5,20.7,sell,neutral
2025-03-04,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,445584,326541,330121,-3580,59.8,33.4,sell,neutral
2025-03-04,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,77647,44551,47097,-2546,91.8,93.8,sell,bull
2025-03-11,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2308393,1555235,1771669,-216434,5.7,4.6,sell,bear
2025-03-11,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,319420,163453,209539,-46086,10.9,8.2,sell,bear
2025-03-11,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,473874,343235,347040,-3805,59.4,33.2,sell,neutral
2025-03-11,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,77307,46679,51163,-4484,80.9,85.6,sell,bull
2025-03-18,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2591482,1757384,1948174,-190790,21.3,13.5,sell,bear
2025-03-18,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,320476,153927,195861,-41934,22.0,16.5,sell,bear
2025-03-18,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,502107,370978,365336,5642,75.3,42.1,buy,neutral
2025-03-18,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,94597,55140,57215,-2075,94.5,95.8,sell,bull
2025-03-25,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2084451,1498297,1530566,-32269,100.0,73.2,sell,neutral
2025-03-25,NQ,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,231229,118514,142643,-24129,69.2,52.0,sell,neutral
2025-03-25,RTY,RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,399445,291919,282462,9457,81.8,45.7,buy,neutral
2025-03-25,YM,DJIA Consolidated - CHICAGO BOARD OF TRADE,74443,47272,44626,2646,100.0,100.0,buy,bull
2025-04-01,ES,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,2124617,1509295,1561723,-52428,89.9,65.8,sell,neutral
